"IDCLIENTE";"IDDIRECCION";"NOMBRE";"DIRECCION";"POBLACION";"PROVINCIA";"CODIGO POSTAL";"TELEFONOS";"FAX";"E-MAIL";"PERSONA CONTACTO";"ENVIAR COPIA FACTURA";"FACTURACION INDEPENDIENTE";"AGENCIA"
"01301";538;"TINEO FERROKEY S. L.";"Marqués del Duero, 42";"SAN PEDRO ALCANTARA";"Málaga";"29670";"952 788779";"952 799211";;"Antonio Tineo";1;0;
"01401";539;"JUAN SIMON AGUILAR";"Hernán Cortés, 2";"ESTEPONA";"Málaga";"29680";"952 800383";;;;1;0;
"01501";1032;"SALVADOR RUIZ MORALES";"Edificio Atenas, Local 1-2";"SAN LUIS DE SABINILLAS";"Málaga";"29692";"952 890321";"952 890321";;;1;0;
"01601";1161;"DESARROLLOS TRUCEL S. L.";"Ed. Varadero, Puerto deportivo Benalmaneda Costa";"BENALMADENA COSTA";"Málaga";"29630";;;;;1;0;
"01602";1175;"ADAM TROJANOWSKI";"Manuel F. Cubeiro, 37 (Polígono El Pinillo)";"TORREMOLINOS";"Málaga";"29620";"687 524349";;;;1;0;
"01603";1260;"ANDRES REGUERA ALARCON";"Antonio Nebrija, 1 (Parque Empresarial el Pinillo)";"TORREMOLINOS";"Málaga";"29620";"952050841";"952388733";;;1;0;
"02101";540;"RECAMBIOS ANTEQUERA S. COOP. AND.";"Camino de la Quinta, 20";"ANTEQUERA";"Málaga";"29200";"952 841235";;;;1;0;
"02102";541;"SUM. IND. EL MARTILLO S. L.";"Lucena, 59";"ANTEQUERA";"Málaga";"29200";"952 842338";"952 842338";;;1;0;
"02103";542;"FERRET. LINDE S. L.";"Polígono Industrial C/ Papabellota, 15";"ANTEQUERA";"Málaga";"29200";"952 841494";;;;1;0;
"02104";543;"RECAMBIOS Y SUM. LA PAZ S. L.";"Obispo, 2";"ANTEQUERA";"Málaga";"29200";"952 841807";"952 841807";;;1;0;
"02105";544;"JOSE RUBIO MARTIN E HIJOS S. L.";"Comedias, 18";"ANTEQUERA";"Málaga";"29200";"952 840652";"952 840812";;;1;0;
"02106";1017;"AUTO SPORT ANDALUCÍA S. L. (ANT)";"Pol. Indust. Antequera C/Adelfas s/nº";"ANTEQUERA";"Málaga";"29200";"952 706331";"952 704168";;;1;0;
"02107";1051;"R. BENET S. L.";"Torre del Hacho, 1";"ANTEQUERA";"MÁLAGA";"29200";"952 706686";"952 706688";;;1;0;
"02111";1074;"TRANS-OLMEDO S. L. (EHLIS)";"Polígono Ind. La Fuente, s/nº";"MOLLINA";"Málaga";"29532";;;;;1;0;
"02151";1254;"ROMEMU S. L. (EHLIS)";"Empedrada, 8";"ARCHIDONA";"Málaga";"29300";;;;;1;0;
"02301";545;"ALICIA ASENCIO ROMERO";"Travesía Dolores Ibarruri, 61";"HUMILLADERO";"Málaga";"29531";"952 737472";"952 738025";;;1;0;
"02301";890;;;;;;;;;;1;0;
"03101";546;"FRANCISCO GONZÁLEZ LARA";"Avda. de Málaga, 32";"RONDA";"Málaga";"29400";"952 873714";;;;1;0;
"03102";547;"FERRETERIA SAN RAFAEL S.C.";"Avda. de Málaga, 34";"RONDA";"Málaga";"29400";;;;;1;0;
"03201";548;"AUTO REC. CECILIO S. L.";"C/ Sto. Tomás, 11 (Pol. Indust.)";"ARROYO DE LA MIEL";"Málaga";"29631";"952 562280";"952 562189";"comercialarroyo@autorecambioscecilio.com";;1;0;
"03201";1049;"AUTO REC. CECILIO S. L.";"C/ Del Ferrocarril, 15 (Polígono Ind. Lourdes)";"COIN";"Málaga";"29100";"952 452092";"952 453410";;;1;0;
"03201";1105;"AUTO REC. CECILIO S. L.";"Avda. de la Constitución, 32 Local 4";"ALORA";"Málaga";"29500";"952 498818";"952 498818";;;1;0;
"03201";1155;"AUTO REC. CECILIO S. L.";"Crta. de Cartama, Edificio Jilena, s/nº";"ALHAURIN EL GRANDE";"Málaga";"29120";"952 595615";;;;1;0;
"03201";1156;"AUTO REC. CECILIO S. L.";"Avda. de Andalucia, 105";"ESTACION DE CARTAMA";"Málaga";"29580";"952 421162";;;;1;0;
"03201";1182;"AUTO REC. CECILIO S. L.";"Avda. Principal, Nave-3 (Pol. Ind. Antequera)";"ANTEQUERA";"Málaga";"29200";"952 706501";"952 844354";;;1;0;
"03201";1297;"AUTO REC. CECILIO S. L.";"Pol. Santa Barbara C/ Fidias, 39";"MALAGA";"Málaga";"29004";"952 067958";"952 067958";;;1;0;
"03301";1042;"INICIATIVAS PIZARRA S. L. (EHLIS S. A.)";"Progreso, 7";"PIZARRA";"Málaga";"29560";;;;;1;0;
"04101";549;"AUTO REC. ANGEL S. L.";"Avda. Vivar Téllez, 83 bajo";"VELEZ MALAGA";"Málaga";"29700";"952 501993";"952 506478";;;1;0;
"04102";550;"ANTONIO ROMERO BERMUDEZ";"Alcalde Manuel Reina, 2-A";"VELEZ MALAGA";"Málaga";"29700";"952 500450";;;;1;0;
"04103";1309;"DANIEL MARTIN GONZALEZ";"C/ Retama, 3";"VELEZ MALAGA";"Málaga";"29700";"675 575169";;;;1;0;
"04104";1328;"CENTRAL DE RECAMBIOS VELEZ S. L.";"C/ Artesanos - Local 1D";"VELEZ MALAGA";"MÁLAGA";"29700";"952549495";"952549490";;;1;0;
"10001";960;"FRENOS SANCHEZ S. L.";"Sierra de Castillejo, 16 (Pol. La Juaida)";"VIATOR";"Almería";"04240";"950 306568";"950 306570";;;1;0;
"10001";964;"FRENOS SANCHEZ S. L.";"Santa Cecilia, 2 (Pol. Sta Olalla-Campohermoso)";"NIJAR";"Almería";"04110";"950 366208";"950 612858";;"Paco Martínez";1;0;
"10001";1030;"FRENOS SANCHEZ S. L.";"C/ Mónaco, 38";"EL EJIDO";"Almería";"04700";"950 570701";"950 570701";;"Pepe Sáez";1;0;
"10001";1040;"FRENOS SANCHEZ S. L.";"Ctra. De Alicún Km. 3,5";"ROQUETAS DE MAR";"Almería";"04740";"950 326280";"950 326280";;"Juan Mena";1;0;
"10001";1246;"FRENOS SANCHEZ S. L.";"Crta. Nacional 340, Km. 530";"VERA";"Almería";"04620";"950 390701";"950 390701";;;1;0;
"10002";552;"JOSE DELGADO SALDAÑA";"C/ Saturno, 7 y 9";"HUERCAL DE ALMERIA";"Almeria";"04230";"950 624550";"950 624552";;;1;0;
"10002";1253;"JOSE DELGADO SALDAÑA";"Pedro Machuca, 10";"EL EJIDO";"Almeria";"04700";"950 485262";;;;1;0;
"10002";1302;"JOSE DELGADO SALDAÑA";"C/ Rio Guadiana, 11";"VICAR";"Almeria";"04738";"950 553377";;;;1;0;
"10003";553;"FRANCISCO SALAS E HIJOS S. L.";"Av. Mare Nostrum, 27 Pol. Ind. Sector 20 (Puche)";"ALMERIA";"Almeria";"04009";"950 151734";"950 265257";;;1;0;
"10003";1020;"FRANCISCO SALAS E HIJOS S. L.";"Avda. Infanta Cristina, 138";"EL EJIDO";"Almería";"04710";"950 480132";"950 480003";;;1;0;
"10003";1106;"FRANCISCO SALAS E HIJOS S. L.";"Pol. Juncaril C/ Albuñol, parcela-343";"ALBOLOTE";"Granada";"18220";"958 400325";"950 400625";;;1;0;
"10003";1220;"FRANCISCO SALAS E HIJOS S. L.";"Carretera de Ronda, 7";"VERA";"Almeria";"04620";;;;;1;0;
"10003";1276;"FRANCISCO SALAS E HIJOS S. L.";"Santo Domingo, s/nº Pol. In. El Vadillo";"MOTRIL";"Granada";"18600";"958 609393";;;;1;0;
"10004";554;"NAVARRO HERMANOS ALMERIA S. L.";"Avda. Monserrat, 137";"ALMERIA";"Almeria";"04005";"950 222666";"950 222308";;;1;0;
"10005";555;"REPUESTOS SUAREZ S. L.";"Crta. de Ronda (Esquina Blas Infante)";"ALMERIA";"Almeria";"04006";"950 229000";"950 229758";;;1;0;
"10005";920;"REPUESTOS SUAREZ S. L.";"Mercurio, 4  Pol. Ind. Venta Alegre";"HUERCAL DE ALMERIA";"Almeria";"04230";"950 145253";"950 624075";;;1;0;
"10006";556;"MERCAPINTURAS S. L.";"Pol. San Rafael - C/ Rosita s/n";"HUERCAL DE ALMERIA";"Almería";"04230";"952 230751";;;;1;0;
"10007";557;"RECAMBIOS BAHIA S. L.";"Sol, 40  (Pol. Ind. Venta Alegre)";"HUERCAL DE ALMERIA";"Almería";"04230";"950 144250";"950 143930";;;1;0;
"10007";1298;"RECAMBIOS BAHIA S. L.";"C/ El Garcel, parcela D-12 (Pol. Ind. El Real)";"ANTAS";"Almería";"04628";"950 619054";"950 619044";;"Francisco Alfonso";1;0;
"10008";558;"HERGO SUMINISTROS HUERCAL S. L.";"Paraje San Silvestre, C/ Saturno";"HUERCAL DE ALMERIA";"Almería";"04230";"950 143698";;;;1;0;
"10009";947;"ELECTRO RECAMBIOS INDALO S. A. L.";"Sierra de Maria, s/nº Polígono Ind. La Juaid";"VIATOR";"Almeria";"04240";;;;;1;0;
"10010";1154;"DAVA S. A.";"Camino de la Goleta, 89";"ALMERIA";"Almería";"04006";;;;;1;0;
"10012";559;"ANTONIO MILÁN S. A. U.";" Sierra de Cazorla, s/nº (Pol. Ind. La Juaida)";"VIATOR";"Almería";"4240";"950 306004";"950 306066";;;1;0;
"10014";560;"AURGI S. L.";" Sol, 123-125 ( Pol. Venta Alegre)";"HUERCAL DE ALMERIA";"ALMERIA";"4230";;;;;1;0;
"10015";561;"JOSE MIGUEL FORTES GARCIA";"Ctra. de Torrecárdenas, 192";"HUERCAL DE ALMERIA";"Almería";"04230";"950 257516";"950 259385";;;1;0;
"10016";562;"MARÍA QUIRANTES GAONA";"Dr. Carracido, 7";"ALMERÍA";"Almería";"4005";"950 266162";"950 254126";;;1;0;
"10017";563;"TALLER REP. JOSE SANCHEZ ALFARO S. L.";"Mendez, 11";"ALMERIA";"Almería";"04003";;;;;1;0;
"10018";564;"SUM. IND. SAYGU S. L.";"Rosa de Luxemburgo, Nave-4 (Pol. San Rafael)";"HUERCAL DE ALMERIA";"Almeria";"4230";"950 624025";"950 624530";;;1;0;
"10019";565;"UTILLAJES MARIN S. L.";"Mejorana, 35  L-2 (Resd. Cortijo Grande)";"ALMERIA";"Almería";"4007";"950 281528";"950 280283";;;1;0;
"10020";1039;"AUTO RECAMBIOS UREÑA ALMERIA S. A.";"Montenegro, 14 (Polígono San Carlos)";"ALMERIA";"Almería";"04008";"950 262806";"950 275541";;;1;0;
"10021";1110;"COMPLEMENTOS Y SUMINISTROS CRUZ S. L.";"Sierra de las Villas, 31 Pol. Ind. La Juaida";"VIATOR";"Almería";"04240";"950 305340";"950 305338";;;1;0;
"10022";1077;"REC. INDUSTRIALES MOLEON S. A. (AL)";"Sierra de las Estancias,s/nº (Pol. La Juaida)";"VIATOR";"Almeria";"04240";"950 304980";"950 305002";;;1;0;
"10023";1193;"PIQUERSA MAQUINARIA S. A.";"Crta. Nacional 340, Km. 445 (Rotonda)";"ALMERIA";"Almería";"04009";"950 625060";"950 624003";;;1;0;
"10024";1204;"COMERCIAL IMPORMOVIL S. A. (AL)";"C/ El Rosal, 7 Polígono Alfa";"HUERCAL DE ALMERIA";"Almería";"04230";"950 303444";"950 303450";;;1;0;
"10024";1205;"COMERCIAL IMPORMOVIL S. A.";"Avenida de la Industria, 25";"TRES CANTOS";"Madrid";"28760";"91 8043649";;;;1;0;
"10030";1336;"BAHIA VEHICULOS INDUSTRIALES";"Crta. Del Mami, 13";"LA CAÑADA";"Almería";"04120";;;;;1;0;
"11101";566;"ANTONIO LIROLA LOPEZ";"Ctra. de Málaga, 147";"EL EJIDO";"Almería";"4700";"950 480455";"950 485601";;;1;0;
"11102";567;"TODOMOTOR EJIDO S. L.";"Granada, 26";"EL EJIDO";"Almería";"4700";"950 571018";"950 486818";;;1;0;
"11103";568;"AGROSISTEMAS DEL SUR S. L.";"Pol. Ind. de la Redonda , parcela 13";"EL EJIDO";"Almería";"4710";;;;;1;0;
"11104";912;"OMEGA REPARACIONES INDUSTRIALES C. B.";"Pol. Ind. Cia Vieja   C/ Betica, 40";"ALMERIA";"Almería";"04700";"950 571152";;;"Jose Manuel";1;0;
"11301";569;"FERRETERIA FLORES UNO S. L.";"Valle Inclán, 5";"ROQUETAS DE MAR";"Almeria";"4740";"950 321025";"950 327261";;;1;0;
"11302";570;"Mª ISABEL DEL AGUILA HERNANDEZ";"Crta. de la Mojonera, 285";"ROQUETAS DE MAR";"Almeria";"4740";"950 626020";"950 326021";;;1;0;
"11303";917;"JOSE MANUEL ZAMORA RUIZ";"Avda. Pablo Picasso, 77";"ROQUETAS DE MAR";"Almería";"04740";"950 320155";"950 320155";;;1;0;
"11401";571;"GAIPER DEL SUR S. L.";"Crta. de Málaga, Km. 101";"AGUADULCE";"Almería";"4720";"950 344765";;;;1;0;
"12101";572;"SUM. IND. GONZALEZ PARRA S. L.";"Batallón de Cádiz, 24";"VERA";"Almeria";"4620";"950 391210";"950 390901";;;1;0;
"12102";573;"AUTO REC. VERA S. L.";"Pol. In. la Mezquita, s/nº Crta. Almería, Km. 206";"VERA";"Almería";"04620";"950 390236";"950 390312";;;1;0;
"12201";574;"CIAL. MARHUENDA S. L.";"Avda. Almanzora, 25";"OLULA DEL RIO";"Almería";"4860";"950 441185";"950 441185";;;1;0;
"20001";575;"SUM. IND. COMASUR S. A.";"Pol. Ind. Juncaril, Parcela-352";"ALBOLOTE";"Granada";"18220";"958 490260";"958 467265";;;1;0;
"20001";1262;"SUM. IND. COMASUR S. A.";"Avda. Salvador Allende";"ZAIDIN";"Granada";"18007";;;;;1;0;
"20001";1263;"SUM. IND. COMASUR S. A.";"C/ Mar Cantabrico,nave-4 (Pol.Alboran)";"MOTRIL";"Granada";"18600";;;;;1;0;
"20002";576;"SUM. IAÑEZ GALVEZ S. L.";"Pol. Juncaril, C/ Loja, Parcela-126";"PELIGROS";"Granada";"18210";"958 491060";"958 430721";;;1;0;
"20002";1118;"S A T GRAHERMA 96 S. L.";"Polígono Juncaril   C/ Villanueva de Mesia, 1";"PELIGROS";"Granada";"18210";"958 491060";"958 430721";;;1;0;
"20003";952;"SUMINISTROS SIMPAR S. L.";"P. Ind. Zárate - C/ Extremadura P-58";"PELIGROS";"Granada";"18210";"958 170496";"958 159386";;"Lorenzo ó Juan";1;0;
"20003";961;"SUM. IND. SIMPAR C. B.";"Curro Cuchares, Ed. Gerona, loc.17";"GRANADA";"Granada";"18014";"958 170496";"958 159386";;"E-18322180";1;0;
"20004";578;"FRANCISCO SALAS E HIJOS S. L.";"Pol. Ind. Juncaril  C/ Albuñol, 343-B";"ALBOLOTE";"Granada";"18220";"958 400325";"958 400625";;;1;0;
"20005";467;"SUMINISTROS HIPICA S. L.";"Pol. Tecnológico, nave 20";"OGIJARES";"Granada";"18151";"958 506515";"958 506844";;;1;0;
"20006";579;"REPUESTOS ARABIAL S. L.";"Polígono Tecnológico, Nave-126";"OGIJARES";"Granada";"18151";"958 509312";"958 509329";;;1;0;
"20006";900;"REPUESTOS ARABIAL S. L.";"Sto. Tomás de Villanueva, 3";"GRANADA";"Granada";"18004";"958 206700";"958 206612";;;1;0;
"20007";580;"SUMINISTROS SANTOS C. B.";"Pol. Juncaril, C/ Loja,  subparcela-57B";"PELIGROS";"Granada";"18210";"18210";"958 465289";;;1;0;
"20008";581;"TRANSMISIONES GRANADA S. C. L.";"Pol. Juncaríl Calle-A parc.122 nave 1";"ALBOLOTE";"Granada";"18220";"958 468360";"958 465514";;;1;0;
"20009";582;"SOGESSUR S. L.";"Pol. Juncaríl Calle-F-B Parc. R-100 nave 4";"ALBOLOTE";"Granada";"18220";"958 465857";"958 465857";;;1;0;
"20010";583;"ESPINOLA SUMINISTROS INDUSTRIALES S. L.";"Verdiales, 4 (bajo)";"GRANADA";"Granada";"18014";"958 153719";"958 153719";;;1;0;
"20011";584;"REPUESTOS SUR GRANADA S. L.";"Pol. Ind. Juncaríl, Parc. 367 Calle- B";"ALBOLOTE";"Granada";"18220";"958 467472";"958 465476";;;1;0;
"20012";585;"JOSE ANTONIO CASTILLO JIMENEZ";"Dr. Alejandro Otero, s/n (Parque Genil)";"GRANADA";"Granada";"18004";"958 272460";;;;1;0;
"20013";586;"SIERRA Y ANTEQUERA SUM. Y UTILLAJE S. L.";"Pol. Juncaril, Calle-2 Parcela, R-233";"ALBOLOTE";"Granada";"18220";"958 468373";"958 087215";;;1;0;
"20014";587;"RODAMIENTOS Y SERVICIOS S. L.";"Pol. Juncaril C/ Almuñecar, 163";"ALBOLOTE";"Granada";"18220";"958 467690";"958 467724";;;1;0;
"20014";1010;"RODAMIENTOS Y SERVICIOS S. L.";"Parque Sevilla Industrial C/ Parsi-6 nº 1305-6-7";"SEVILLA";"Sevilla";"41016";;;;;1;0;
"20015";588;"SCOA CENTRAL DE COMPRAS S. L.";"Jaén, s/n (Pol. Asegra)";"PELIGROS";"Granada";"18210";"958 400327";"958 402001";;;1;0;
"20016";590;"CSJ EMUCAR";"Pol. Juncaríl - C/ Baza, 12-H";"ALBOLOTE";"Granada";"18220";;;;;1;0;
"20017";591;"CIAL. LINARES HERMANOS S. A.";"Centro Empresarial San Miguel, Nave-7";"ARMILLA";"Granada";"18100";"958 553376";"958 572694";;;1;0;
"20018";593;"ROBERTO MORA ALVAREZ";"Torre de los Abencerrajes, 1 Local 5";"GRANADA";"Granada";"18008";"9580491525";;;;1;0;
"20018";836;;;;;;;;;;1;0;
"20019";594;"LUIS MOLEON S. L.";"Ctra. Córdoba km. 436 (Junto Mercagranada)";"GRANADA";"Granada";"18080";"958 282020";"958 281196";"sevilla@luismoleon.com";;1;0;
"20020";596;"BERNER MONTAJE Y FIJACION S. L.";"Polígono Ind. la Rosa VI  C/ Albert Berner, 2";"CHAUCHINA";"Granada";"18330";"958 060207";"958 060243";"eva.alfocea@berner.es";"Eva";1;0;
"20021";597;"REPUESTOS MARIN S. L.";"Ctra. Antigua Málaga, Pol. Fatinafar, 1ª Fase N-9";"GRANADA";"Granada";"18015";"958 294950";"958 294150";;;1;0;
"20022";1116;"S A T GRAHERMA 96 S. L.";"Polígono Juncaril C/ Villanueva de Mesia, 1";"PELIGROS";"Granada";"18210";"958 491060";"958 430721";"satgraherma@yahoo.es";"Ivan";1;0;
"20022";1117;"SUM. IAÑEZ GALVEZ";"Pol. Juncaril  C/ Loja, parcela-126";"PELIGROS";"Granada";"18210";"958 491060";"958 430721";;;1;0;
"20023";602;"REPUESTOS VELERO S. L.";"Crta. de Jaén, Edificio Velero";"GRANADA";"Granada";"18013";"958 270218";"958 204719";;;1;0;
"20024";604;"JOSE ANDRES VILCHEZ PRIETO";"Pol. Juncaril  Urb. La Mediana, Parc. 12-K";"ALBOLOTE";"Granada";"18220";"958 465374";"958 468606";;;1;0;
"20025";606;"FLAMAR MERIDIONAL S. L.";"c/ Huelva, Manz. 1, Parc. 9 (POL. LA FUENTE)";"FUENTE VAQUEROS";"GRANADA";"18340";"958436918";"958434601";"enrique@flagmeridional.com";;1;0;
"20026";608;"REPUESTOS DE LA ROSA S. L.";"Ctra. Antigua de Málaga, 136 - Nave 5";"GRANADA";"Granada";"18015";"958 204 114";"958 273 093";;"Ángel de la Rosa";1;0;
"20027";867;"AUTO RECAMBIOS GRANADA S. L.";"Camino de Purchil, 2";"GRANADA";"Granada";"18004";"958 520808";"958 521666";;;1;0;
"20028";913;"REPUESTOS MARIN";"Crta. Antigua Málaga   Pol. Fatinafar, 1ª Fase N-9";"GRANADA";"Granada";"18015";"958 294950";"958 294150";;;1;0;
"20029";852;"TALLERES Y SUM. PEYMA S. A.";"Crta. de Málaga, 189";"GRANADA";"GRANADA";"18015";"958 277457";"958 206898";;;1;0;
"20030";609;"TRANSMISIONES Y DIRECCIONES QUERO S. L.";"Av. Jacobo Camarero, s/nº nave-2";"ALBOLOTE";"Granada";"18220";"958 490886";;;;1;0;
"20031";612;"AUTOFRIO GENIL C. B.";"Espaldas Ribera del Violón, 9";"GRANADA";"Granada";"18006";;;;;1;0;
"20032";613;"UNION QUALITY INTERNATIONAL SLL";"C/ Sierra de Tejeda - Nave 20 (POL. ASEGRA)";"PELIGROS";"Granada";"18210";"858 858028";;;"Luismi";1;0;
"20033";615;"MIGUEL PÉREZ LUPIAÑEZ";"C/ Junco s/n (POL. CORTIJO LA PURÍSIMA)";"GRANADA";"Granada";"18006";"958 126020";"958 126019";"cucas@supercable.es";"Enrique Pérez";1;0;
"20034";996;"DAVA S. A. (GR)";"Polígono Juncaril, s/nº";"GRANADA";"Granada";"18220";"958 468985";;;;1;0;
"20035";1171;"ALIAUTO S. A. (GR)";"C/ Almuñécar, P-339/4";"ALBOLOTE";"GRANADA";"18220";"958 430641";"958 430739";;;1;0;
"20036";1192;"DATACOL HISPANIA S. L. U.";"C/ Baza, 347 Polígono Ind. Juncaril";"ALBOLOTE";"Granada";"18220";"958 465946";"958 467796";;;1;0;
"20037";1185;"AUTIBERIA S. L.";"Avenida Andalucia, km. 3";"GRANADA";"Granada";"18015";;;;;1;0;
"20038";1189;"COMERCIAL NEVADA COLOR S. L.";"Doctor Victor Escribano, 4-6";"GRANADA";"Granada";"18012";"958 272312";"958 207530";;;1;0;
"20039";896;"RECAMER";"Leopoldo Lugonés, N-11 (Pol.Guadalhorce)";"MALAGA";"Málaga";"29004";"952 170201";"952 170718";;"Paco";1;0;
"20039";1095;"GESALIMO S. L.";"C/ Molvizar, Parc. R-107 (Polígono Juncaril)";"ALBOLOTE";"Granada";"18220";"958 468400";"958 467571";;;1;0;
"20039";1319;"RIMOSA";"Pol. Indust. Guadiel, parcela 198-184";"GUARROMAN";"Jaén";"23210";"953 100095";;;"Hector";1;0;
"20040";619;"CIAL. SAMO S. L.";"Santisteban Márquez, 1";"GRANADA";"Granada";"18003";"956 283304";;;;1;0;
"20041";621;"GARCOFREN FJ&E S. L.";"Arabial, 70 bajo";"GRANADA";"Granada";"18003";"958 273995";"958 273781";;"Evaristo García";1;0;
"20042";623;"SANSA AUTOMOCION S. L.";"C/ Purullena, Parcela R241 (Pol. Juncaril)";"ALBOLOTE";"Granada";"18220";"958 430343";"958 430505";;"Amador";1;0;
"20043";626;"FIXUNE S. L.";"C/ Monachil, 18 (Pol. Ind. Juncaril)";"PELIGROS";"Granada";"18210";"958 466732";;;;1;0;
"20043";1315;"DAVID PEREZ ESTUDILLO (FIXUNE)";"C/ Manao, 14";"CHICLANA DE LA FRONTERA";"Cádiz";"11130";"609 072190";;;;1;0;
"20044";1075;"REC. INDUSTRIALES MOLEON S. A. (GR)";"Molvizar, parcela R-107 (Pol. Juncaril)";"ALBOLOTE";"Granada";"18220";"958 468400";"958 467571";;;1;0;
"20045";1072;"GARBEGRAN S. L.";"C/ Purullena R-240";"ALBOLOTE";"Granada";"18220";"958 430085 - 430087";"958 430086 - 430088";"j.garcia@jbs.com.es";;1;0;
"20046";1197;"DROGUERIA GRANADA C. B.";"Granados, 7  Bajo";"GRANADA";"Granada";"18004";"958 251144";"958 813904";;;1;0;
"20047";1282;"THUNDRA AUTOMOTIVE S. L.";"C/ Villanueva de Mesía, 1";"PELIGROS";"Granada";"18210";"673 147993";"958 430721";"th@suministrosianez.com";"Benjamín Megía";1;0;
"20048";1295;"FRANCISCO MARTINEZ PUERTOLLANO";"C/ Baza, local-7 Parcela-7 (Polígono Juncaril)";"ALBOLOTE";"Granada";"18220";"958 496400";;;;1;0;
"20050";627;"DARF S. L.";"Camino de Albolote, 24 bajo";"MARACENA";"Granada";"18200";"958 404186";"958 404381";;;1;0;
"20051";1187;"TALLERES AUTO ASEGRA";"Pol. Ind. ASEGRA - C/ Córdoba, 15";"PELIGROS";"Granada";"18210";"650 040 707";;"flopezceja@telefonica.net";"Federico López";1;0;
"20051";1188;"FEDERICO LOPEZ CEJA";"Padre Claret, 18   P-1  4º-B";"GRANADA";"Granada";"18013";"958 606605";;"flopezceja@telefonica.net";"Federico López";1;0;
"20052";630;"FERRET. INDUSTRIAL NEVADA S.  L.";"Castilla la Mancha, s/nº Polígono Ind. Zarate";"PELIGROS";"Granada";"18210";"958 405361";"958 401074";;"Miguel Abril";1;0;
"20053";1202;"COMERCIAL IMPORMOVIL S. A. (GR)";"Avda. de Andalucia, s/nº";"GRANADA";"Granada";"18015";"958 291716";"958 271017";;;1;0;
"20053";1203;"COMERCIAL IMPORMOVIL S. A.";"Avda. de la Industria, 25";"TRES CANTOS";"Madrid";"28760";"91 8043649";;;;1;0;
"20054";1239;"JOSE ANGEL MERCADO S. A.";"Pol. Juncaril C/ Salobreña, Parcela R-96";"ALBOLOTE";"Granada";"18220";"958466281";"958466570";;;1;0;
"20061";633;"DEYMASUR AUTOMOCION S. L.";"Camino de Ronda, 122";"GRANADA";"Granada";"18003";"958 200609";"958 206261";;;1;0;
"20062";1343;"FERNANDO RUIZ";"Gustavo Torre, 3";"ARMILLA";"Granada";"18100";;;;;1;0;
"20063";1344;"CONCEPCON LUJAN BUENO";"C/ Madrid, 20";"CHURRIANA DE LA VEGA";"Granada";"18194";"661 363331";;;;1;0;
"21101";634;"RECAMBIOS MONTERO S. A.";"Haití, s/nº Pol. El Vadillo";"MOTRIL";"Granada";"18600";"958 601333";"958 603855";;;1;0;
"21102";636;"SUM. IND. TEYMO S. L.";"Plaza San Sebastian, 3 bajo";"MOTRIL";"Granada";"18600";"18600";"958 602808";;;1;0;
"21103";638;"REVESTIMIENTOS Y MAQUINARIA S. A.";"Plaza San Sebastian, 5";"MOTRIL";"Granada";"18600";"958 602808";;;;1;0;
"21104";640;"SUM. IND. RODRIGUEZ MORENO S. L.";"Avda. Salobreña - La Puchilla, Nave-4";"MOTRIL";"Granada";"18600";"958 821007";"958 604929";;;1;0;
"22101";643;"JOSE TORRES RUBIO";"Reyes Católicos, 1";"BAZA";"Granada";"18800";"958 701421 - 701220";"958 701421";;;1;0;
"22102";644;"REPUESTOS VICENTE S. L. - ALMACEN";"Crta. de Murcia, Km. 176,4";"BAZA";"Granada";"18800";"958 702659";"958 702796";"repuestosvicente@terra.es";"Sergio Yeste / Juanjo";1;0;
"22102";865;"REPUESTOS VICENTE S. L. - TIENDA";"Luis Braille, s/n";"BAZA";"Granada";"18800";"958 701562";"958 702796";;"Vicente Yeste - Jr.";1;0;
"22102";895;"REPUESTOS VICENTE S. L. - NAVE";"Pol. Indust. La Noria";"BAZA";"Granada";"18800";"958 702239";"958 861406";;"Angel";1;0;
"22102";924;"REPUESTOS VICENTE S. L.";"C/ Norieta, 13";"ROQUETAS DE MAR";"Almería";"04740";"950 326107";"950 320955";;;1;0;
"22102";1098;"REPUESTOS VICENTE S. L.";"Carretera Alta, 26";"OLULA DEL RIO";"Almería";"04860";"950 443400";"950 443134";;;1;0;
"22102";1307;"REPUESTOS VICENTE S. L.";"Pol. Juncaril C/ Almuñécar s/n";"GRANADA";"Granada";"18220";"958 520808";"958 521666";;;1;0;
"22102";1317;"REPUESTOS VICENTE S. L.";"C/ Almuñecar, Parc. R168 (P. JUNCARIL)";"ALBOLOTE";"Granada";"18220";;;;;1;0;
"22103";647;"SUM. IND. METAFER S. L.";"Ctra. de Murcia Pol. Ind. La Noria";"BAZA";"Granada";"18800";"958 860035";"958 860067";;;1;0;
"22104";649;"AGROLABOR S. L.";"Ctra. de Granada s/nº";"BAZA";"Granada";"18800";"958 703238";"958 701414";;;1;0;
"22106";651;"GREGORIO DOMENE GARCIA";"Crta. de Murcia, 11";"BAZA";"Granada";"18800";"958 700598";;;;1;0;
"22110";654;"VICENTE YESTE YESTE";"Luis Braille, s/nº";"BAZA";"Granada";"18800";"958 701562";"958 702796";;;1;0;
"22201";1337;"DISTRIB. ELÉC. LOZANO VILLANUEVA S. L.";"Pol. Ind. La Marcoba, Av. Ciudad de Guadix, 23";"GUADIX";"Granada";"18500";"958 661436";"958 660900";;;1;0;
